"","id","check_out_time","date","intake.time","household_size","pounds.of.food","max_temp","min_temp","avg_temp","weekday","rain","HH.ID..use.this.to.match.with.ages.and.receipt.of.food.stamps.on.other.sheets.","town....Temp..means.homeless.","WIC","Fuel.Assist","Masshealth","usual.transportation","monthly.household.income","language.spoken.at.home","num.of.people.that.day"
"123",18979,"18:13:00","4/6/17","17:24",3,62,42,37,39,4,1,8979,"Easthampton",FALSE,FALSE,TRUE,"car","$1,000.00 ","Arabic",36
"124",19369,"16:32:00","4/6/17","16:07",1,21.5,42,37,39,4,1,9369,"Easthampton",FALSE,TRUE,FALSE,"car","$794.00 ","English",36
"125",19540,"17:33:00","4/6/17","16:55",5,138.5,42,37,39,4,1,9540,"Easthampton",TRUE,FALSE,TRUE,"car","$3,100.00 ","English",36
"126",19543,"17:00:00","4/6/17","16:16",3,99.5,42,37,39,4,1,9543,"Easthampton",FALSE,FALSE,TRUE,"car","$3,093.00 ","English",36
"127",19678,"19:10:00","4/6/17","18:53",1,47.5,42,37,39,4,1,9678,"Northampton",FALSE,FALSE,TRUE,"car","$1,600.00 ","English",36
"128",19687,"16:46:00","4/6/17","16:14",1,47.5,42,37,39,4,1,9687,"Northampton",FALSE,FALSE,FALSE,"car","$0.00 ","English",36
"129",19758,"16:37:00","4/6/17","16:10",2,101.5,42,37,39,4,1,9758,"Temp",FALSE,FALSE,TRUE,"walk","$0.00 ","English",36
"130",19788,"17:52:00","4/6/17","17:01",6,194,42,37,39,4,1,9788,"Northampton",TRUE,FALSE,TRUE,"car","$2,559.00 ","Spanish",36
"131",19860,"18:03:00","4/6/17","17:17",3,79,42,37,39,4,1,9860,"Easthampton",FALSE,FALSE,TRUE,"car","$1,741.00 ","English",36
"132",19901,"18:16:00","4/6/17","17:27",1,31.5,42,37,39,4,1,9901,"Northampton",FALSE,FALSE,FALSE,"bus","$894.00 ","English",36
"133",19914,"17:47:00","4/6/17","17:23",2,33,42,37,39,4,1,9914,"Temp",FALSE,FALSE,TRUE,"car","$0.00 ","English",36
"134",19917,"18:48:00","4/6/17","18:21",1,24,42,37,39,4,1,9917,"Northampton",FALSE,TRUE,TRUE,"car","$192.00 ","English",36
"135",19924,"17:03:00","4/6/17","16:22",1,59.5,42,37,39,4,1,9924,"Temp",FALSE,FALSE,TRUE,"car","$197.00 ","English",36
"136",10611,"11:46:00","4/7/17","11:11",4,129.5,49,38,44,5,0,611,"Northampton",FALSE,TRUE,TRUE,"car","$2,600.00 ","English",32
"137",11046,"13:25:00","4/7/17","12:37",6,151.5,49,38,44,5,0,1046,"Chesterfield",FALSE,TRUE,TRUE,"car","$2,835.00 ","English",32
"138",11050,"12:45:00","4/7/17","11:47",7,154.5,49,38,44,5,0,1050,"Northampton",FALSE,FALSE,TRUE,"car","$1,602.00 ","English",32
"139",11136,"11:44:00","4/7/17","11:12",2,69.5,49,38,44,5,0,1136,"Northampton",FALSE,TRUE,TRUE,"car","$867.00 ","English",32
"140",11366,"12:01:00","4/7/17","11:16",2,50.5,49,38,44,5,0,1366,"Northampton",FALSE,FALSE,TRUE,"bus","$1,811.00 ","English",32
"141",11412,"12:56:00","4/7/17","12:16",1,27,49,38,44,5,0,1412,"Northampton",FALSE,FALSE,TRUE,"car","$794.00 ","English",32
"142",11513,"13:26:00","4/7/17","12:42",2,99.5,49,38,44,5,0,1513,"Northampton",FALSE,FALSE,TRUE,"car","$1,723.00 ","Spanish",32
"143",11565,"11:22:00","4/7/17","11:01",1,60,49,38,44,5,0,1565,"Northampton",FALSE,FALSE,TRUE,"walk","$937.00 ","English",32
"144",13250,"12:08:00","4/7/17","11:24",1,46,49,38,44,5,0,3250,"Easthampton",FALSE,FALSE,TRUE,"car","$733.00 ","English",32
"145",13816,"14:23:00","4/7/17","13:38",1,91,49,38,44,5,0,3816,"Easthampton",FALSE,TRUE,TRUE,"car","$1,226.00 ","English",32
"146",14208,"13:43:00","4/7/17","12:55",5,122,49,38,44,5,0,4208,"South Hadley",TRUE,TRUE,TRUE,"car","$1,800.00 ","Spanish",32
"147",15086,"14:12:00","4/7/17","13:23",1,64.5,49,38,44,5,0,5086,"Easthampton",FALSE,FALSE,FALSE,"car","$1,420.00 ","English",32
"148",15269,"14:08:00","4/7/17","13:15",1,99,49,38,44,5,0,5269,"Northampton",FALSE,TRUE,TRUE,"walk","$1,887.00 ","English",32
"149",15896,"11:26:00","4/7/17","11:05",1,25.5,49,38,44,5,0,5896,"Northampton",FALSE,FALSE,TRUE,"bus","$912.00 ","English",32
"150",16391,"12:29:00","4/7/17","11:31",2,91,49,38,44,5,0,6391,"Easthampton",FALSE,FALSE,TRUE,"car","$746.00 ","Cambodian",32
"151",17391,"14:02:00","4/7/17","13:20",1,69,49,38,44,5,0,7391,"Easthampton",FALSE,TRUE,FALSE,"car","$2,356.00 ","English",32
"152",17411,"11:40:00","4/7/17","11:04",4,100,49,38,44,5,0,7411,"Easthampton",FALSE,TRUE,TRUE,"car","$2,536.00 ","English",32
"153",18428,"12:57:00","4/7/17","11:58",5,179.5,49,38,44,5,0,8428,"Southampton",FALSE,TRUE,TRUE,"car","$1,521.00 ","English",32
"154",18446,"12:12:00","4/7/17","11:27",1,42.5,49,38,44,5,0,8446,"Easthampton",FALSE,TRUE,TRUE,"car","$1,700.00 ","English",32
"155",18743,"11:47:00","4/7/17","11:15",1,52,49,38,44,5,0,8743,"Easthampton",FALSE,TRUE,TRUE,"car","$1,325.00 ","English",32
"156",19702,"12:27:00","4/7/17","11:40",2,83,49,38,44,5,0,9702,"Huntington",FALSE,TRUE,TRUE,"car","$927.00 ","Spanish",32
"157",19721,"13:39:00","4/7/17","13:00",1,38,49,38,44,5,0,9721,"Northampton",FALSE,FALSE,TRUE,"car","$784.00 ","English",32
"158",19755,"13:47:00","4/7/17","13:04",1,75.5,49,38,44,5,0,9755,"Northampton",FALSE,FALSE,FALSE,"car","$840.00 ","English",32
"159",19757,"13:48:00","4/7/17","13:08",1,46.5,49,38,44,5,0,9757,"Northampton",FALSE,FALSE,FALSE,"car","$1,261.00 ","English",32
"160",19816,"12:31:00","4/7/17","11:43",2,83,49,38,44,5,0,9816,"Huntington",FALSE,FALSE,FALSE,"car","$1,086.00 ","Spanish",32
"161",19824,"12:07:00","4/7/17","11:21",1,33,49,38,44,5,0,9824,"Northampton",FALSE,FALSE,FALSE,"car","$1,230.00 ","English",32
"162",19841,"13:42:00","4/7/17","12:45",6,232.5,49,38,44,5,0,9841,"Northampton",FALSE,FALSE,TRUE,"car","$197.00 ","English",32
"163",19878,"12:46:00","4/7/17","12:02",1,36.5,49,38,44,5,0,9878,"Easthampton",FALSE,FALSE,TRUE,"car","$974.00 ","English",32
"164",19925,"13:07:00","4/7/17","12:29",1,54.5,49,38,44,5,0,9925,"Easthampton",FALSE,FALSE,FALSE,"car","$1,679.00 ","English",32
"165",10177,"12:28:00","4/10/17","11:54",1,65.5,79,35,57,1,0,177,"Northampton",FALSE,TRUE,TRUE,"car","$0.00 ","English",27
"166",10227,"11:20:00","4/10/17","11:01",1,52.5,79,35,57,1,0,227,"Northampton",FALSE,FALSE,TRUE,"car","$1,150.00 ","English",27
"167",10423,"12:51:00","4/10/17","12:24",1,49.5,79,35,57,1,0,423,"Northampton",FALSE,FALSE,TRUE,"car","$999.39 ","English",27
"168",11490,"12:08:00","4/10/17","11:33",1,43.5,79,35,57,1,0,1490,"Northampton",FALSE,FALSE,TRUE,"car","$1,003.00 ","Spanish",27
"169",11530,"13:08:00","4/10/17","12:07",5,111,79,35,57,1,0,1530,"Hatfield",FALSE,TRUE,TRUE,"car","$2,191.00 ","English",27
"170",11710,"13:39:00","4/10/17","13:26",1,31.5,79,35,57,1,0,1710,"Northampton",FALSE,FALSE,TRUE,"bus","$1,008.00 ","English",27
"171",11711,"12:16:00","4/10/17","11:34",1,34,79,35,57,1,0,1711,"Northampton",FALSE,FALSE,TRUE,"car","$1,000.00 ","Spanish",27
"172",13778,"12:04:00","4/10/17","11:11",6,220.5,79,35,57,1,0,3778,"Northampton",FALSE,FALSE,TRUE,"car","$1,030.00 ","English",27
"173",14044,"11:33:00","4/10/17","11:06",2,64.5,79,35,57,1,0,4044,"Northampton",FALSE,FALSE,TRUE,"walk","$1,451.00 ","English",27
"174",14241,"12:37:00","4/10/17","12:00",3,109.5,79,35,57,1,0,4241,"Easthampton",FALSE,FALSE,TRUE,"car","$2,160.00 ","English",27
